CustomerID,Age,Income,IncomeValue,Channel,Tenure,Frequency,AvgSpend,MonthlySpend,Recency,RFM_Score,CLV,Segment
CUST000058,64,High,101467.52,App,1,12,460.8,460.8,4,14,37.57,Low
CUST000059,24,Very High,159453.19,App,11,17,556.01,787.68,39,14,948.39,High
CUST000060,61,Low,25654.92,App,25,8,173.15,115.43,17,9,160.06,Medium
CUST000061,25,Medium,64295.88,App,30,7,351.38,204.97,174,6,373.47,Medium
CUST000062,64,Low,21834.49,Web,42,10,132.79,110.66,200,6,216.33,Medium
CUST000063,52,High,109146.14,Web,25,10,488.44,407.03,4,13,787.52,High
CUST000064,31,High,72057.45,App,32,13,297.83,322.64,17,13,693.59,High
CUST000065,34,Medium,65313.06,App,25,10,188.75,157.29,60,9,235.74,Medium
CUST000066,53,Medium,57107.87,Web,21,5,249.06,103.77,34,7,123.27,Medium
CUST000067,67,Low,28515.6,Branch,64,5,139.47,58.11,45,6,154.77,Medium
CUST000068,57,Medium,56941.48,Web,48,10,258.8,215.66,237,7,553.02,High
CUST000069,21,Medium,52811.91,Web,82,10,250.45,208.7,56,9,776.38,High
CUST000070,19,Low,29520.92,Web,14,6,132.61,66.3,151,4,49.64,Low
CUST000071,23,Medium,65337.33,Web,5,4,224.39,74.8,79,5,26.49,Low
CUST000072,59,Very High,166567.46,Web,44,16,659.84,879.79,22,15,3744.03,High
CUST000073,21,Medium,56402.17,App,2,6,302.94,151.47,58,7,21.77,Low
CUST000074,46,Low,30131.45,App,6,4,161.45,53.82,92,4,19.74,Low
CUST000075,35,Medium,42490.49,Branch,49,10,154.31,128.6,36,9,324.87,Medium
CUST000076,43,Very High,195961.7,Branch,65,19,649.29,1028.04,25,14,6272.06,High
CUST000077,61,High,114929.82,Web,6,11,424.0,388.67,102,10,208.68,Medium
CUST000078,51,Low,18559.0,Web,70,5,162.1,67.54,44,6,183.56,Medium
CUST000079,27,High,80397.03,App,39,12,309.04,309.04,1,13,849.55,High
CUST000080,53,High,97400.99,App,21,10,355.96,296.63,23,11,458.69,High
CUST000081,31,Very High,160849.7,App,18,15,559.03,698.79,65,13,1278.32,High
CUST000082,48,High,99716.68,Web,76,12,340.79,340.79,2,13,1496.88,High
CUST000083,65,Low,27081.46,App,68,8,197.8,131.86,294,5,366.29,Medium
CUST000084,32,Medium,54414.0,Branch,11,9,311.67,233.75,6,12,159.46,Medium
CUST000085,25,High,63941.07,Branch,24,3,340.04,85.01,25,7,131.34,Medium
CUST000086,31,Very High,104633.65,Web,24,15,406.97,508.72,64,13,1001.01,High
CUST000087,40,Low,23810.07,Branch,8,7,119.06,69.45,365,4,30.64,Low
CUST000088,57,Medium,47677.64,Branch,10,6,287.23,143.61,172,5,94.14,Low
CUST000089,38,Medium,65775.59,App,78,11,289.33,265.21,16,13,1128.99,High
CUST000090,33,Medium,61916.61,Branch,32,9,263.81,197.86,29,10,403.7,High
CUST000091,62,Medium,46981.54,Web,1,7,303.46,177.02,12,10,11.79,Low
CUST000092,35,Medium,59563.43,App,28,16,241.22,321.63,6,14,542.18,High
CUST000093,64,Very High,192402.25,Web,54,17,710.1,1005.97,58,13,5171.84,High
CUST000094,41,High,83060.72,Web,11,8,376.84,251.23,150,8,201.63,Medium
CUST000095,43,High,117724.48,App,9,12,514.25,514.25,43,13,437.79,High
CUST000096,42,Medium,53800.1,Web,2,9,205.07,153.8,29,10,20.2,Low
CUST000097,62,High,88898.95,Branch,23,8,312.71,208.48,28,9,336.17,Medium
CUST000098,58,Low,32724.95,Branch,17,6,193.16,96.58,53,6,85.43,Low
CUST000099,46,Low,21426.64,App,3,8,157.08,104.72,69,7,16.01,Low
CUST000100,32,Very High,148894.57,Web,21,13,552.37,598.4,53,12,1183.73,High
CUST000101,62,Medium,70633.45,Web,26,6,310.48,155.24,147,6,242.47,Medium
CUST000102,18,Low,22589.16,Branch,55,5,204.39,85.16,167,4,201.98,Medium
CUST000103,42,Very High,154908.07,App,6,20,635.52,1059.2,91,12,680.95,High
CUST000104,24,Very High,148095.52,Web,17,11,511.83,469.17,17,14,737.49,High
CUST000105,26,High,89131.56,Web,13,12,382.51,382.51,48,12,360.04,Medium
CUST000106,41,Low,22287.75,App,11,5,173.53,72.3,55,5,38.36,Low
CUST000107,18,Low,23410.23,Branch,13,4,88.45,29.48,66,5,21.09,Low
CUST000108,61,Medium,65283.63,App,1,5,258.64,107.77,19,8,10.0,Low
CUST000109,25,Medium,58168.31,Branch,8,11,199.36,182.75,43,11,97.12,Low
CUST000110,41,Very High,174786.63,App,42,19,690.64,1093.51,53,13,4564.04,High
CUST000111,28,Very High,134771.35,Branch,24,8,492.58,328.39,181,7,705.73,High
CUST000112,68,Very High,150037.86,Branch,25,16,590.39,787.19,163,11,1868.45,High
CUST000113,34,Low,13746.32,App,6,5,106.55,44.39,153,4,14.3,Low
CUST000114,25,High,97992.97,App,42,12,352.47,352.47,29,12,1025.14,High
CUST000115,52,High,114692.1,Web,17,11,453.6,415.8,255,10,615.15,High
CUST000116,52,Medium,48314.05,Web,22,12,281.35,281.35,127,10,333.06,Medium
CUST000117,50,Low,23197.53,App,19,7,284.73,166.09,2,10,172.96,Medium
CUST000118,22,High,95687.39,Web,7,19,247.76,392.29,42,13,234.66,Medium
CUST000119,59,Low,20264.43,App,67,6,146.82,73.41,129,4,183.32,Medium
CUST000120,56,Very High,149747.77,App,8,22,602.4,1104.4,65,13,859.54,High
CUST000121,58,Low,24700.08,Branch,54,9,132.87,99.65,213,6,254.24,Medium
CUST000122,45,Medium,42773.42,Web,27,6,263.43,131.72,46,7,195.32,Medium
CUST000123,24,Very High,102811.8,App,20,21,425.18,744.07,54,13,1171.14,High
CUST000124,26,Very High,184160.28,App,23,21,701.73,1228.03,23,14,2706.03,High
CUST000125,25,High,93724.07,Web,8,10,405.29,337.74,7,12,210.19,Medium
CUST000126,29,High,79205.77,Web,6,7,432.65,252.38,22,11,113.48,Medium
CUST000127,51,Very High,174718.17,App,30,14,612.53,714.61,3,15,2218.22,High
CUST000128,50,Very High,184832.53,Branch,54,17,614.31,870.28,12,15,4528.57,High
CUST000129,65,Medium,45497.15,Web,10,10,260.24,216.86,15,11,131.73,Medium
CUST000130,40,High,95844.1,App,7,9,371.17,278.38,90,10,155.72,Medium
CUST000131,41,Medium,55918.08,App,31,8,216.57,144.38,204,6,263.65,Medium
CUST000132,54,Medium,75430.37,App,13,8,326.33,217.55,30,9,211.84,Medium
CUST000133,52,High,90380.9,Branch,6,14,316.07,368.75,33,13,164.85,Medium
CUST000134,61,High,99324.79,App,52,15,352.58,440.73,16,15,1649.57,High
CUST000135,57,High,83110.69,Web,34,12,353.22,353.22,20,13,749.53,High
CUST000136,39,Low,24125.44,Web,7,9,170.55,127.91,139,7,43.53,Low
CUST000137,44,Medium,62594.21,Web,7,11,312.57,286.52,4,13,135.41,Medium
CUST000138,52,Medium,55455.01,App,69,15,290.43,363.04,46,13,1192.08,High
CUST000139,18,Medium,42980.79,App,15,4,169.88,56.63,75,5,47.24,Low
CUST000140,52,Medium,45983.58,Branch,33,8,164.01,109.34,41,8,191.97,Medium
CUST000141,54,High,115143.34,App,1,17,471.47,667.91,1,15,60.94,Low
CUST000142,64,Low,28387.8,App,13,3,99.88,24.97,365,3,18.65,Low
CUST000143,31,Low,23162.98,Web,23,5,79.5,33.12,43,6,40.49,Low
CUST000144,20,Very High,148396.04,Branch,18,19,594.97,942.04,130,12,1635.1,High
CUST000145,18,Very High,201797.76,Branch,22,21,737.35,1290.37,27,14,3112.6,High
CUST000146,22,Low,27430.46,App,10,6,194.07,97.04,30,7,52.89,Low
CUST000147,43,Medium,54932.96,Branch,30,9,194.17,145.63,105,8,265.86,Medium
CUST000148,31,Low,24775.16,Branch,6,7,98.56,57.49,232,4,19.21,Low
CUST000149,56,High,126843.24,Web,3,16,482.9,643.86,6,15,175.98,Medium
CUST000150,44,High,82497.71,Web,4,6,348.98,174.49,109,6,51.11,Low
CUST000151,26,Medium,59636.8,Branch,33,10,151.52,126.27,35,9,241.94,Medium
CUST000152,32,High,100509.21,App,61,10,447.45,372.87,7,12,1447.11,High
CUST000153,32,Medium,52245.42,Branch,14,8,224.82,149.88,11,10,138.71,Medium
CUST000154,43,Low,20866.58,App,80,2,173.69,28.95,38,6,84.78,Low
CUST000155,59,High,91130.86,Web,13,10,462.11,385.09,13,12,383.92,Medium
CUST000156,30,High,131019.17,Web,73,14,466.16,543.85,92,12,2876.03,High
CUST000157,68,High,105965.06,Web,58,21,374.03,654.55,9,15,2393.28,High
CUST000158,49,Very High,205112.55,App,8,24,725.94,1451.88,68,13,1426.81,High
CUST000159,56,High,103349.06,App,26,19,389.26,616.32,72,13,1242.25,High
CUST000160,66,Low,24093.54,Web,1,7,139.67,81.47,210,5,10.0,Low
CUST000161,69,Low,27103.17,Branch,30,10,101.45,84.54,15,10,118.13,Medium
CUST000162,49,High,106272.73,Branch,2,18,339.75,509.62,105,12,91.38,Low
CUST000163,21,Low,22961.79,App,43,8,172.15,114.77,263,5,212.57,Medium
CUST000164,47,Medium,53873.32,App,27,4,261.06,87.02,48,7,141.61,Medium
CUST000165,54,Low,23575.46,Web,10,6,117.38,58.69,16,7,31.58,Low
CUST000166,40,Very High,117184.4,Branch,19,13,478.49,518.36,4,14,906.26,High
CUST000167,56,Medium,61847.14,Branch,38,10,345.04,287.53,294,8,619.15,High
CUST000168,62,Low,21749.18,App,38,2,117.25,19.54,56,5,33.81,Low
CUST000169,32,Very High,167157.18,App,14,19,550.07,870.95,31,14,1180.25,High
CUST000170,60,Medium,73153.78,App,26,6,240.5,120.25,56,6,218.6,Medium
CUST000171,46,Low,19444.56,App,12,2,184.13,30.69,26,6,17.79,Low
CUST000172,53,High,81403.2,App,34,16,317.25,423.0,45,14,1020.68,High
CUST000173,30,Low,23435.38,Web,10,8,77.71,51.81,36,7,27.1,Low
CUST000174,49,High,112311.6,App,11,17,485.01,687.1,74,13,693.72,High
CUST000175,24,Medium,44282.17,App,27,5,178.51,74.38,54,5,111.94,Medium
CUST000176,68,Low,24651.83,Web,2,5,168.01,70.0,170,3,10.0,Low
CUST000177,39,High,89434.29,App,64,9,402.7,302.03,3,12,1103.21,High
CUST000178,45,Medium,59635.28,App,9,2,275.51,45.92,44,6,28.27,Low
CUST000179,19,Medium,58439.64,Web,21,9,224.61,168.45,326,7,220.27,Medium
CUST000180,59,High,79257.61,App,14,11,309.09,283.33,17,13,291.93,Medium
CUST000181,62,Low,22799.64,Web,18,9,58.86,44.14,172,5,43.57,Low
CUST000182,23,Medium,55636.48,Branch,76,13,340.91,369.32,62,11,1302.08,High
CUST000183,45,Very High,110389.73,Web,4,7,404.95,236.22,39,10,83.94,Low
CUST000184,45,Medium,60653.22,App,60,7,259.42,151.33,93,7,535.08,High
CUST000185,61,Medium,47116.38,App,34,2,215.61,35.93,28,6,71.66,Low
CUST000186,61,Low,30481.19,App,45,6,154.39,77.2,119,4,160.84,Medium
CUST000187,37,Medium,58542.34,App,8,7,264.5,154.29,181,6,88.28,Low
CUST000188,47,Medium,49834.3,Branch,2,15,165.29,206.61,108,10,27.37,Low
CUST000189,28,Low,25187.23,App,24,5,172.93,72.06,75,5,77.57,Low
CUST000190,45,Low,24947.26,App,36,6,278.82,139.41,37,7,221.21,Medium
CUST000191,42,Medium,52206.54,App,85,14,250.11,291.8,37,13,1080.36,High
CUST000192,56,Low,24300.82,App,5,8,192.63,128.42,14,9,35.77,Low
CUST000193,50,Medium,47702.06,Web,1,8,259.94,173.3,189,6,10.91,Low
CUST000194,18,High,97566.85,App,20,17,324.02,459.02,60,13,727.42,High
CUST000195,44,Low,23012.66,App,23,2,132.17,22.03,194,3,25.38,Low
CUST000196,69,High,112274.1,Branch,95,12,344.41,344.41,34,12,2009.11,High
CUST000197,30,Medium,36801.11,App,18,8,154.35,102.9,74,7,101.18,Low
CUST000198,58,Very High,165532.47,App,57,15,537.87,672.33,29,14,3131.75,High
CUST000199,20,Very High,168024.43,Branch,84,13,591.83,641.15,112,11,4331.58,High
CUST000200,56,High,87271.47,Web,2,10,405.96,338.3,305,8,60.21,Low
CUST000201,23,Medium,50785.83,Web,11,8,101.28,67.52,69,6,42.71,Low
CUST000202,25,Very High,182907.4,Web,8,19,614.77,973.38,5,15,865.37,High
CUST000203,44,Very High,147257.9,App,23,17,500.5,709.04,19,15,1571.33,High
CUST000204,26,Medium,41310.29,Web,40,11,245.6,225.13,11,12,476.45,High
CUST000205,54,Medium,56252.66,Web,20,9,326.17,244.63,6,12,289.45,Medium
CUST000206,50,Low,24563.32,App,12,4,102.35,34.12,96,4,20.92,Low
CUST000207,68,Low,26689.87,Branch,11,8,170.79,113.86,30,8,64.97,Low
CUST000208,59,Medium,61391.14,App,2,8,249.38,166.26,82,8,23.54,Low
CUST000209,61,Medium,50544.3,Web,28,7,202.77,118.28,59,7,203.53,Medium
CUST000210,41,Medium,60847.11,App,27,6,305.97,152.99,40,8,251.65,Medium
CUST000211,32,Low,16544.18,App,40,8,125.12,83.42,55,7,145.58,Medium
CUST000212,49,High,89750.14,App,21,11,345.4,316.62,7,13,478.4,High
CUST000213,49,Medium,52435.94,Branch,11,8,356.36,237.57,214,7,158.38,Medium
CUST000214,41,Medium,57362.28,App,26,12,272.55,272.55,85,11,451.54,High
CUST000215,58,High,101380.94,Web,28,14,470.65,549.09,213,11,1208.89,High
CUST000216,69,Medium,45091.16,Web,20,10,254.53,212.11,4,11,258.72,Medium
CUST000217,66,Low,21081.66,App,15,5,150.77,62.82,197,3,47.38,Low
CUST000218,66,Medium,52179.85,Web,13,5,296.29,123.45,4,8,97.58,Low
CUST000219,69,Medium,54450.62,App,11,10,304.48,253.73,13,12,177.18,Medium
CUST000220,29,High,80976.72,Web,14,16,307.83,410.43,28,14,389.82,High
CUST000221,56,Low,27537.01,Web,23,11,135.63,124.32,185,7,144.07,Medium
CUST000222,19,Low,30367.29,App,71,13,116.49,126.2,66,9,378.95,Medium
CUST000223,20,Medium,54486.22,Branch,4,13,244.71,265.1,150,10,65.9,Low
CUST000224,66,High,94678.46,App,4,8,334.62,223.08,58,8,72.71,Low
CUST000225,54,High,93763.94,App,33,8,292.58,195.05,172,6,456.02,High
CUST000226,66,Medium,57718.16,App,2,7,366.61,213.86,281,6,29.4,Low
CUST000227,34,Medium,55351.3,Web,10,7,219.59,128.09,9,9,84.57,Low
CUST000228,66,Low,27804.03,App,28,7,175.17,102.18,22,9,128.29,Medium
CUST000229,19,High,68538.15,Web,3,8,213.95,142.64,69,8,33.16,Low
CUST000230,19,Low,27798.88,Web,4,12,214.05,214.05,137,9,50.1,Low
CUST000231,45,High,119419.96,App,7,11,392.15,359.47,110,10,229.25,Medium
CUST000232,40,Very High,135699.35,App,43,15,544.98,681.22,97,12,2326.47,High
CUST000233,54,Very High,103599.23,Web,6,7,414.63,241.87,56,9,118.92,Medium
CUST000234,49,High,84573.7,App,30,12,369.08,369.08,159,10,770.46,High
CUST000235,50,Low,24700.12,App,57,6,166.48,83.24,9,8,180.79,Medium
CUST000236,18,Medium,52627.46,App,64,8,187.63,125.08,108,6,380.26,Medium
CUST000237,36,Low,24940.55,Web,9,6,133.19,66.59,3,7,32.43,Low
CUST000238,19,Low,24946.85,Branch,19,7,111.37,64.96,208,4,66.92,Low
CUST000239,61,Low,22932.39,Web,16,6,150.67,75.34,298,3,62.44,Low
CUST000240,43,Medium,49342.13,App,35,13,275.61,298.57,248,9,611.07,High
CUST000241,49,Medium,60829.36,App,15,11,315.41,289.13,180,9,322.98,Medium
CUST000242,23,Very High,133779.1,Web,56,14,466.69,544.47,35,14,2479.45,High
CUST000243,49,Medium,43726.61,Web,112,7,221.43,129.17,126,6,551.48,High
CUST000244,21,Medium,64463.98,Branch,74,11,275.24,252.31,13,13,1037.88,High
CUST000245,28,Medium,61456.57,App,51,10,325.7,271.42,26,11,693.48,High
CUST000246,34,High,91399.97,App,23,12,420.44,420.44,42,13,684.1,High
CUST000247,55,Very High,176639.11,App,15,25,714.64,1488.84,113,12,2474.45,High
CUST000248,41,Medium,54751.8,Web,72,17,261.5,370.45,47,13,1304.67,High
CUST000249,22,Low,34785.74,App,4,7,219.12,127.82,107,6,30.12,Low
CUST000250,69,Low,24125.21,App,4,8,223.07,148.71,2,10,32.92,Low
CUST000251,51,High,125802.98,Branch,19,10,472.99,394.15,7,12,702.07,High
CUST000252,23,Medium,57371.05,Web,23,11,299.54,274.58,1,13,338.6,Medium
CUST000253,39,High,82054.65,Branch,19,13,258.01,279.51,24,12,386.78,Medium
CUST000254,28,High,89823.17,Web,13,9,407.39,305.54,237,8,305.39,Medium
CUST000255,65,High,89989.24,App,71,13,313.66,339.8,117,10,1424.49,High
CUST000256,33,High,92421.38,Web,74,11,344.5,315.79,164,9,1302.62,High
CUST000257,50,High,92355.28,Web,29,17,371.29,525.99,132,12,1178.44,High
CUST000258,26,Medium,49714.15,Web,57,7,246.3,143.67,17,10,426.2,High
CUST000259,23,Low,24945.12,Branch,30,3,132.67,33.17,73,5,43.12,Low
CUST000260,33,Medium,62919.84,Web,22,6,311.51,155.75,1,9,199.11,Medium
CUST000261,46,Medium,51313.77,App,36,10,225.38,187.82,6,11,363.2,Medium
CUST000262,20,Very High,134473.75,Web,66,15,526.43,658.03,38,14,3080.45,High
CUST000263,37,High,117997.42,App,35,18,483.62,725.44,24,14,1944.14,High
CUST000264,53,Medium,67272.46,Branch,10,12,318.1,318.1,178,9,211.69,Medium
CUST000265,36,Medium,53239.54,App,1,8,204.31,136.21,22,9,10.0,Low
CUST000266,43,Low,28639.39,Web,43,8,188.37,125.58,179,5,227.65,Medium
CUST000267,20,Medium,58640.95,App,40,18,242.74,364.1,54,12,800.21,High
CUST000268,36,Low,24722.99,App,7,6,125.1,62.55,188,3,25.4,Low
CUST000269,37,Low,25257.19,App,40,11,216.71,198.65,108,9,381.74,Medium
CUST000270,49,Medium,52493.03,Web,22,4,221.17,73.72,224,3,101.85,Low
CUST000271,24,Medium,50506.87,App,54,10,282.26,235.22,86,10,691.53,High
CUST000272,69,High,98829.7,App,22,9,382.78,287.09,146,9,508.9,High
CUST000273,58,High,108529.02,Web,3,4,367.02,122.34,18,8,29.88,Low
CUST000274,50,Low,29763.43,App,11,10,237.47,197.89,4,11,130.97,Medium
CUST000275,57,Low,27363.83,App,89,4,146.44,48.81,46,6,168.05,Medium
CUST000276,56,Medium,56668.57,Branch,1,4,190.76,63.59,40,6,10.0,Low
CUST000277,35,Medium,45692.82,Branch,8,7,178.64,104.2,19,9,52.35,Low
CUST000278,57,Medium,70699.07,Branch,50,15,238.04,297.55,121,11,913.75,High
CUST000279,18,Medium,63174.63,App,33,10,279.92,233.27,308,8,470.45,High
CUST000280,28,Low,26188.42,Branch,24,6,212.44,106.22,227,4,113.04,Medium
CUST000281,45,Medium,40791.49,Web,12,7,169.72,99.0,1,9,65.72,Low
CUST000282,42,Medium,40514.49,App,23,5,292.8,122.0,116,5,150.07,Medium
CUST000283,67,Medium,56222.22,App,7,8,255.87,170.58,87,8,79.32,Low
CUST000284,40,High,81823.69,App,2,9,286.28,214.71,34,10,36.05,Low
CUST000285,48,Low,17187.98,Web,11,8,77.74,51.83,222,4,24.52,Low
CUST000286,47,Low,21404.78,App,25,8,188.33,125.56,257,5,147.13,Medium
CUST000287,59,Medium,55864.85,App,54,10,131.2,109.33,82,8,309.49,Medium
CUST000288,52,Low,23256.33,Web,2,7,76.74,44.76,99,5,10.0,Low
CUST000289,24,Low,24747.41,Branch,25,3,189.14,47.28,102,4,57.68,Low
CUST000290,33,Low,24476.22,Branch,28,10,214.48,178.73,307,7,249.69,Medium
CUST000291,43,Medium,75812.89,App,7,10,291.89,243.24,11,12,127.01,Medium
CUST000292,65,High,101373.39,App,12,15,303.91,379.89,101,11,364.09,Medium
CUST000293,69,Low,29906.08,App,3,8,95.7,63.8,27,7,11.6,Low
CUST000294,66,Low,21114.6,Web,38,5,195.67,81.53,116,5,135.01,Medium
CUST000295,19,Medium,59057.6,Web,1,7,331.96,193.64,315,6,13.72,Low
CUST000296,18,High,114170.91,App,10,8,510.49,340.33,42,10,319.18,Medium
CUST000297,65,Medium,51935.79,Web,16,11,213.42,195.64,185,8,193.45,Medium
CUST000298,29,Low,24514.14,Web,49,5,192.66,80.28,279,4,178.97,Medium
CUST000299,22,Medium,53541.05,Web,15,7,253.19,147.7,45,9,139.92,Medium
CUST000300,54,Low,21734.15,Branch,35,5,112.83,47.01,133,4,74.02,Low
CUST000301,49,Medium,57000.14,Web,16,12,216.98,216.98,122,9,212.57,Medium
CUST000302,26,High,73825.13,App,47,14,369.65,431.26,117,12,1196.5,High
CUST000303,58,High,73713.11,Branch,33,14,322.58,376.35,2,14,815.38,High
CUST000304,52,Medium,54439.92,Web,22,13,255.2,276.46,134,10,388.09,Medium
CUST000305,36,High,110477.17,Branch,2,15,461.19,576.48,30,14,99.86,Low
CUST000306,65,Very High,183281.06,Web,22,15,689.59,861.98,16,15,2061.79,High
CUST000307,33,Low,20571.07,Web,27,4,94.57,31.52,39,6,40.38,Low
CUST000308,20,Low,19061.68,Web,27,1,176.85,14.74,297,3,17.13,Low
CUST000309,37,High,127034.7,Web,1,12,536.45,536.45,162,10,54.17,Low
CUST000310,41,High,92227.92,Web,44,13,317.23,343.66,44,12,942.37,High
CUST000311,50,Medium,41320.15,Web,26,11,167.81,153.83,6,12,219.02,Medium
CUST000312,41,Very High,148560.87,Web,23,14,545.73,636.69,92,12,1307.88,High
CUST000313,69,Low,23504.19,Branch,30,2,156.97,26.16,45,6,40.49,Low
CUST000314,28,Medium,60503.06,App,25,7,295.75,172.52,44,9,296.84,Medium
CUST000315,66,Low,30464.04,App,22,11,159.42,146.13,7,12,174.99,Medium
CUST000316,25,Low,28215.27,App,33,1,234.53,19.54,62,5,31.54,Low
CUST000317,53,Low,30116.31,Web,8,6,146.49,73.25,95,4,34.03,Low
CUST000318,55,Medium,60506.48,App,3,8,308.64,205.76,365,6,44.44,Low
CUST000319,57,Medium,51229.09,Web,20,6,220.22,110.11,112,5,121.91,Medium
CUST000320,37,Low,20239.71,App,18,4,159.65,53.22,232,3,50.08,Low
CUST000321,52,Medium,63725.82,Web,7,7,213.54,124.56,56,7,55.94,Low
CUST000322,65,Medium,56368.99,App,15,8,256.88,171.25,5,10,166.53,Medium
CUST000323,42,Low,22451.37,App,61,4,56.09,18.7,19,7,45.69,Low
CUST000324,52,Low,19028.09,App,8,1,42.78,3.56,98,4,10.0,Low
CUST000325,42,Low,26390.95,App,57,2,189.63,31.61,9,7,74.7,Low
CUST000326,46,Medium,48606.72,Web,6,9,261.98,196.49,43,10,74.99,Low
CUST000327,35,High,91964.05,App,9,10,407.03,339.19,16,12,221.2,Medium
CUST000328,63,Medium,61995.07,Web,20,10,289.06,240.89,152,9,299.33,Medium
